ORC Evaporator Temperature,Q_cool (kW),Q_hw (kW),Exergy Destruction (kW),UA (kW/K)
325,23.952191391851,485.324886253032,209.384463810715,18.4871296031367
326,24.6780529287208,489.528507262746,213.514103911444,18.7705269873076
327,25.3625739443873,493.472336982136,217.398360475885,19.0470134378013
328,25.9943826937712,497.08369178368,220.97112971673,19.3123209735477
329,26.5593230487495,500.272106665131,224.150134502644,19.5608606815818
330,27.0396229537596,502.92402431973,226.832051298043,19.7853695355616
331,27.4127488960998,504.895478773423,228.885773451137,19.9765029453228
332,27.6497965048148,506.001816256016,230.142908360215,20.1223958729627
333,27.7131774524512,506.002921527617,230.384056499399,20.2082354111084
334,27.5532053739905,504.581412189001,229.318452153704,20.2159002195126
335,27.1028955070688,501.309424004739,226.552762636184,20.1237004200835
